x,y,seed,run,rssi_dbm,snr_db,goodput_mbps,rtt_ms,delay_ms,loss
0.000000,11.000000,1,14,-57.919481,36.070219,6.572800,146.455682,-1.000000,0.342510
0.000000,13.000000,1,15,-60.096001,33.893699,6.620800,147.161063,-1.000000,0.337708
0.000000,15.000000,1,16,-61.960438,32.029262,6.572800,148.438386,-1.000000,0.342510
0.000000,1.000000,1,9,-26.677700,67.312000,6.544000,147.302094,-1.000000,0.345391
0.000000,3.000000,1,10,-40.991338,52.998362,6.550400,148.117617,-1.000000,0.344750
0.000000,5.000000,1,11,-47.646800,46.342900,6.592000,147.100952,-1.000000,0.340589
0.000000,7.000000,1,12,-52.030641,41.959059,6.572800,147.897448,-1.000000,0.342510
0.000000,9.000000,1,13,-55.304975,38.684725,6.537600,148.670410,-1.000000,0.346031
0.000000,-11.000000,1,3,-57.919481,36.070219,6.579200,145.771605,-1.000000,0.341869
0.000000,-13.000000,1,2,-60.096001,33.893699,6.553600,148.422676,-1.000000,0.344430
0.000000,-15.000000,1,1,-61.960438,32.029262,6.611200,145.028314,-1.000000,0.338668
0.000000,-1.000000,1,8,-26.677700,67.312000,6.544000,147.165621,-1.000000,0.345391
0.000000,-3.000000,1,7,-40.991338,52.998362,6.614400,146.830206,-1.000000,0.338348
0.000000,-5.000000,1,6,-47.646800,46.342900,6.588800,148.213635,-1.000000,0.340909
0.000000,-7.000000,1,5,-52.030641,41.959059,6.540800,150.067654,-1.000000,0.345711
0.000000,-9.000000,1,4,-55.304975,38.684725,6.556800,147.382823,-1.000000,0.344110
10.000000,11.000000,1,94,-61.843584,32.146116,6.566400,148.410914,-1.000000,0.343150
10.000000,13.000000,1,95,-63.123984,30.865716,6.572800,148.138044,-1.000000,0.342510
10.000000,15.000000,1,96,-64.355950,29.633750,6.576000,147.748163,-1.000000,0.342190
10.000000,1.000000,1,89,-56.742521,37.247179,6.528000,148.364064,-1.000000,0.346991
10.000000,3.000000,1,90,-57.239097,36.750603,6.534400,148.150642,-1.000000,0.346351
10.000000,5.000000,1,91,-58.131350,35.858350,6.524800,148.015877,-1.000000,0.347311
10.000000,7.000000,1,92,-59.275494,34.714206,6.524800,147.756203,-1.000000,0.347311
10.000000,9.000000,1,93,-60.542879,33.446821,6.579200,146.283514,-1.000000,0.341869
10.000000,-11.000000,1,83,-61.843584,32.146116,6.572800,146.356043,-1.000000,0.342510
10.000000,-13.000000,1,82,-63.123984,30.865716,6.428800,157.325467,-1.000000,0.356914
10.000000,-15.000000,1,81,-64.355950,29.633750,6.614400,148.877849,-1.000000,0.338348
10.000000,-1.000000,1,88,-56.742521,37.247179,6.569600,148.706535,-1.000000,0.342830
10.000000,-3.000000,1,87,-57.239097,36.750603,6.547200,147.000054,-1.000000,0.345070
10.000000,-5.000000,1,86,-58.131350,35.858350,6.550400,147.230690,-1.000000,0.344750
10.000000,-7.000000,1,85,-59.275494,34.714206,6.582400,147.694273,-1.000000,0.341549
10.000000,-9.000000,1,84,-60.542879,33.446821,6.592000,146.796032,-1.000000,0.340589
12.000000,11.000000,1,110,-63.026388,30.963312,6.604800,147.360882,-1.000000,0.339309
12.000000,13.000000,1,111,-64.110865,29.878835,6.601600,149.531054,-1.000000,0.339629
12.000000,15.000000,1,112,-65.183095,28.806605,6.531200,150.026440,-1.000000,0.346671
12.000000,1.000000,1,105,-59.098220,34.891480,6.598400,148.000771,-1.000000,0.339949
12.000000,3.000000,1,106,-59.448071,34.541629,6.588800,146.774172,-1.000000,0.340909
12.000000,5.000000,1,107,-60.096001,33.893699,6.601600,147.207536,-1.000000,0.339629
12.000000,7.000000,1,108,-60.961060,33.028640,6.537600,147.076561,-1.000000,0.346031
12.000000,9.000000,1,109,-61.960438,32.029262,6.544000,147.711586,-1.000000,0.345391
12.000000,-11.000000,1,99,-63.026388,30.963312,6.579200,147.957021,-1.000000,0.341869
12.000000,-13.000000,1,98,-64.110865,29.878835,6.540800,148.145422,-1.000000,0.345711
12.000000,-15.000000,1,97,-65.183095,28.806605,6.585600,147.712465,-1.000000,0.341229
12.000000,-1.000000,1,104,-59.098220,34.891480,6.560000,148.018340,-1.000000,0.343790
12.000000,-3.000000,1,103,-59.448071,34.541629,6.576000,146.379943,-1.000000,0.342190
12.000000,-5.000000,1,102,-60.096001,33.893699,6.588800,148.676467,-1.000000,0.340909
12.000000,-7.000000,1,101,-60.961060,33.028640,6.569600,148.050730,-1.000000,0.342830
12.000000,-9.000000,1,100,-61.960438,32.029262,6.534400,148.207036,-1.000000,0.346351
14.000000,11.000000,1,126,-64.193589,29.796111,6.540800,148.983270,-1.000000,0.345711
14.000000,13.000000,1,127,-65.112093,28.877607,6.579200,147.622726,-1.000000,0.341869
14.000000,15.000000,1,128,-66.041931,27.947769,6.563200,147.446937,-1.000000,0.343470
14.000000,1.000000,1,121,-61.094693,32.895007,6.563200,148.140909,-1.000000,0.343470
14.000000,3.000000,1,122,-61.354008,32.635692,6.537600,148.875562,-1.000000,0.346031
14.000000,5.000000,1,123,-61.843584,32.146116,6.572800,367.763063,-1.000000,0.342510
14.000000,7.000000,1,124,-62.515191,31.474509,6.528000,150.836671,-1.000000,0.346991
14.000000,9.000000,1,125,-63.314897,30.674804,6.566400,147.020575,-1.000000,0.343150
14.000000,-11.000000,1,115,-64.193589,29.796111,6.592000,146.593900,-1.000000,0.340589
14.000000,-13.000000,1,114,-65.112093,28.877607,6.547200,147.344897,-1.000000,0.345070
14.000000,-15.000000,1,113,-66.041931,27.947769,6.563200,149.863970,-1.000000,0.343470
14.000000,-1.000000,1,120,-61.094693,32.895007,6.576000,146.424827,-1.000000,0.342190
14.000000,-3.000000,1,119,-61.354008,32.635692,6.566400,147.895674,-1.000000,0.343150
14.000000,-5.000000,1,118,-61.843584,32.146116,6.550400,149.271707,-1.000000,0.344750
14.000000,-7.000000,1,117,-62.515191,31.474509,6.595200,148.460829,-1.000000,0.340269
14.000000,-9.000000,1,116,-63.314897,30.674804,6.560000,147.252146,-1.000000,0.343790
16.000000,11.000000,1,142,-65.322820,28.666880,6.547200,149.373223,-1.000000,0.345070
16.000000,13.000000,1,143,-66.103534,27.886166,6.428800,156.184149,-1.000000,0.356914
16.000000,15.000000,1,144,-66.909876,27.079824,6.361600,161.761582,-1.000000,0.363636
16.000000,1.000000,1,137,-62.826697,31.163003,6.534400,148.465451,-1.000000,0.346351
16.000000,3.000000,1,138,-63.026388,30.963312,6.540800,148.448331,-1.000000,0.345711
16.000000,5.000000,1,139,-63.408295,30.581405,6.534400,148.516450,-1.000000,0.346351
16.000000,7.000000,1,140,-63.942198,30.047502,6.534400,148.178152,-1.000000,0.346351
16.000000,9.000000,1,141,-64.592149,29.397552,6.560000,147.185650,-1.000000,0.343790
16.000000,-11.000000,1,131,-65.322820,28.666880,6.537600,151.791317,-1.000000,0.346031
16.000000,-13.000000,1,130,-66.103534,27.886166,6.588800,149.617954,-1.000000,0.340909
16.000000,-15.000000,1,129,-66.909876,27.079824,6.540800,152.036200,-1.000000,0.345711
16.000000,-1.000000,1,136,-62.826697,31.163003,6.563200,149.418428,-1.000000,0.343470
16.000000,-3.000000,1,135,-63.026388,30.963312,6.569600,147.539565,-1.000000,0.342830
16.000000,-5.000000,1,134,-63.408295,30.581405,6.595200,147.121246,-1.000000,0.340269
16.000000,-7.000000,1,133,-63.942198,30.047502,6.601600,345.920820,-1.000000,0.339629
16.000000,-9.000000,1,132,-64.592149,29.397552,6.588800,146.641484,-1.000000,0.340909
18.000000,11.000000,1,158,-66.403100,27.586600,6.592000,344.951737,-1.000000,0.340589
18.000000,13.000000,1,159,-67.070404,26.919296,6.409600,156.464941,-1.000000,0.358835
18.000000,15.000000,1,160,-67.771285,26.218415,6.316800,247.017062,-1.000000,0.368118
18.000000,1.000000,1,153,-64.355950,29.633750,6.566400,147.654389,-1.000000,0.343150
18.000000,3.000000,1,154,-64.514364,29.475337,6.576000,146.358794,-1.000000,0.342190
18.000000,5.000000,1,155,-64.820081,29.169619,6.528000,147.496694,-1.000000,0.346991
18.000000,7.000000,1,156,-65.253332,28.736368,6.569600,151.332648,-1.000000,0.342830
18.000000,9.000000,1,157,-65.789525,28.200175,6.588800,147.930798,-1.000000,0.340909
18.000000,-11.000000,1,147,-66.403100,27.586600,6.572800,151.500667,-1.000000,0.342510
18.000000,-13.000000,1,146,-67.070404,26.919296,6.560000,147.577901,-1.000000,0.343790
18.000000,-15.000000,1,145,-67.771285,26.218415,5.859200,288.865868,-1.000000,0.413892
18.000000,-1.000000,1,152,-64.355950,29.633750,6.601600,146.807909,-1.000000,0.339629
18.000000,-3.000000,1,151,-64.514364,29.475337,6.601600,146.544583,-1.000000,0.339629
18.000000,-5.000000,1,150,-64.820081,29.169619,6.547200,146.838097,-1.000000,0.345070
18.000000,-7.000000,1,149,-65.253332,28.736368,6.537600,148.435137,-1.000000,0.346031
18.000000,-9.000000,1,148,-65.789525,28.200175,6.588800,147.869656,-1.000000,0.340909
20.000000,11.000000,1,174,-67.430266,26.559434,6.601600,147.839014,-1.000000,0.339629
20.000000,13.000000,1,175,-68.004384,25.985316,6.572800,146.986146,-1.000000,0.342510
20.000000,15.000000,1,176,-68.615900,25.373800,6.390400,157.580118,-1.000000,0.360755
20.000000,1.000000,1,169,-65.724866,28.264834,6.432000,136.693388,-1.000000,0.356594
20.000000,3.000000,1,170,-65.853550,28.136150,6.553600,148.806391,-1.000000,0.344430
20.000000,5.000000,1,171,-66.103534,27.886166,6.556800,148.440771,-1.000000,0.344110
20.000000,7.000000,1,172,-66.461395,27.528305,6.566400,148.420114,-1.000000,0.343150
20.000000,9.000000,1,173,-66.909876,27.079824,6.556800,148.295973,-1.000000,0.344110
20.000000,-11.000000,1,163,-67.430266,26.559434,6.403200,157.358400,-1.000000,0.359475
20.000000,-13.000000,1,162,-68.004384,25.985316,6.540800,149.423120,-1.000000,0.345711
20.000000,-15.000000,1,161,-68.615900,25.373800,6.582400,147.929782,-1.000000,0.341549
20.000000,-1.000000,1,168,-65.724866,28.264834,6.528000,149.981074,-1.000000,0.346991
20.000000,-3.000000,1,167,-65.853550,28.136150,6.576000,147.930430,-1.000000,0.342190
20.000000,-5.000000,1,166,-66.103534,27.886166,6.585600,147.073880,-1.000000,0.341229
20.000000,-7.000000,1,165,-66.461395,27.528305,6.585600,147.376240,-1.000000,0.341229
20.000000,-9.000000,1,164,-66.909876,27.079824,6.601600,146.897491,-1.000000,0.339629
22.000000,11.000000,1,190,-68.404031,25.585669,6.582400,146.194892,-1.000000,0.341549
22.000000,13.000000,1,191,-68.901398,25.088302,6.428800,154.659983,-1.000000,0.356914
22.000000,15.000000,1,192,-69.437394,24.552307,6.582400,147.423903,-1.000000,0.341549
22.000000,1.000000,1,185,-66.963826,27.025874,5.785600,485.052936,-1.000000,0.421255
22.000000,3.000000,1,186,-67.070404,26.919296,6.553600,146.662039,-1.000000,0.344430
22.000000,5.000000,1,187,-67.278467,26.711233,6.608000,146.286839,-1.000000,0.338988
22.000000,7.000000,1,188,-67.578608,26.411092,6.531200,149.025304,-1.000000,0.346671
22.000000,9.000000,1,189,-67.958427,26.031273,6.566400,149.606916,-1.000000,0.343150
22.000000,-11.000000,1,179,-68.404031,25.585669,6.547200,145.888823,-1.000000,0.345070
22.000000,-13.000000,1,178,-68.901398,25.088302,6.588800,146.026126,-1.000000,0.340909
22.000000,-15.000000,1,177,-69.437394,24.552307,6.572800,148.812171,-1.000000,0.342510
22.000000,-1.000000,1,184,-66.963826,27.025874,6.592000,147.973872,-1.000000,0.340589
22.000000,-3.000000,1,183,-67.070404,26.919296,6.560000,154.110497,-1.000000,0.343790
22.000000,-5.000000,1,182,-67.278467,26.711233,6.531200,147.480475,-1.000000,0.346671
22.000000,-7.000000,1,181,-67.578608,26.411092,6.390400,157.602374,-1.000000,0.360755
22.000000,-9.000000,1,180,-67.958427,26.031273,6.403200,156.347219,-1.000000,0.359475
24.000000,11.000000,1,206,-69.326192,24.663508,6.534400,346.782552,-1.000000,0.346351
24.000000,13.000000,1,207,-69.760044,24.229656,6.438400,164.419923,-1.000000,0.355954
24.000000,15.000000,1,208,-70.232188,23.757512,6.390400,157.179246,-1.000000,0.360755
24.000000,1.000000,1,201,-68.095337,25.894363,6.563200,149.930283,-1.000000,0.343470
24.000000,3.000000,1,202,-68.185038,25.804662,6.563200,151.473334,-1.000000,0.343470
24.000000,5.000000,1,203,-68.360817,25.628883,6.576000,151.900131,-1.000000,0.342190
24.000000,7.000000,1,204,-68.615900,25.373800,6.572800,147.380058,-1.000000,0.342510
24.000000,9.000000,1,205,-68.941181,25.048519,6.380800,157.393815,-1.000000,0.361716
24.000000,-11.000000,1,195,-69.326192,24.663508,6.579200,147.420899,-1.000000,0.341869
24.000000,-13.000000,1,194,-69.760044,24.229656,6.371200,157.261795,-1.000000,0.362676
24.000000,-15.000000,1,193,-70.232188,23.757512,6.412800,159.923540,-1.000000,0.358515
24.000000,-1.000000,1,200,-68.095337,25.894363,6.566400,148.624283,-1.000000,0.343150
24.000000,-3.000000,1,199,-68.185038,25.804662,6.598400,147.141338,-1.000000,0.339949
24.000000,-5.000000,1,198,-68.360817,25.628883,6.563200,147.644606,-1.000000,0.343470
24.000000,-7.000000,1,197,-68.615900,25.373800,6.547200,147.183106,-1.000000,0.345070
24.000000,-9.000000,1,196,-68.941181,25.048519,6.576000,151.499053,-1.000000,0.342190
26.000000,11.000000,1,222,-70.199575,23.790125,6.368000,162.638556,-1.000000,0.362996
26.000000,13.000000,1,223,-70.580551,23.409149,6.057600,201.346978,-1.000000,0.394046
26.000000,15.000000,1,224,-70.998572,22.991128,6.566400,147.835357,-1.000000,0.343150
26.000000,1.000000,1,217,-69.136530,24.853170,6.566400,150.011861,-1.000000,0.343150
26.000000,3.000000,1,218,-69.213059,24.776641,6.508800,148.345725,-1.000000,0.348912
26.000000,5.000000,1,219,-69.363470,24.626230,6.556800,149.249734,-1.000000,0.344110
26.000000,7.000000,1,220,-69.582770,24.406930,6.233600,194.745325,-1.000000,0.376440
26.000000,9.000000,1,221,-69.864138,24.125562,6.572800,146.565486,-1.000000,0.342510
26.000000,-11.000000,1,211,-70.199575,23.790125,6.627200,147.909929,-1.000000,0.337068
26.000000,-13.000000,1,210,-70.580551,23.409149,6.588800,148.526016,-1.000000,0.340909
26.000000,-15.000000,1,209,-70.998572,22.991128,6.521600,146.155957,-1.000000,0.347631
26.000000,-1.000000,1,216,-69.136530,24.853170,6.361600,160.797153,-1.000000,0.363636
26.000000,-3.000000,1,215,-69.213059,24.776641,6.598400,147.784857,-1.000000,0.339949
26.000000,-5.000000,1,214,-69.363470,24.626230,6.560000,148.375329,-1.000000,0.343790
26.000000,-7.000000,1,213,-69.582770,24.406930,6.579200,150.237244,-1.000000,0.341869
26.000000,-9.000000,1,212,-69.864138,24.125562,6.547200,149.272914,-1.000000,0.345070
28.000000,11.000000,1,238,-71.027429,22.962271,6.521600,148.444357,-1.000000,0.347631
28.000000,13.000000,1,239,-71.364094,22.625607,6.569600,149.078605,-1.000000,0.342830
28.000000,15.000000,1,240,-71.736067,22.253633,6.566400,148.983960,-1.000000,0.343150
28.000000,1.000000,1,233,-70.100745,23.888955,6.531200,148.405310,-1.000000,0.346671
28.000000,3.000000,1,234,-70.166798,23.822902,6.572800,147.755224,-1.000000,0.342510
28.000000,5.000000,1,235,-70.296928,23.692772,6.595200,148.620179,-1.000000,0.340269
28.000000,7.000000,1,236,-70.487375,23.502325,6.547200,148.802171,-1.000000,0.345070
28.000000,9.000000,1,237,-70.732942,23.256758,6.598400,148.438899,-1.000000,0.339949
28.000000,-11.000000,1,227,-71.027429,22.962271,6.595200,147.477757,-1.000000,0.340269
28.000000,-13.000000,1,226,-71.364094,22.625607,6.412800,142.521775,-1.000000,0.358515
28.000000,-15.000000,1,225,-71.736067,22.253633,6.502400,154.765237,-1.000000,0.349552
28.000000,-1.000000,1,232,-70.100745,23.888955,6.585600,149.000745,-1.000000,0.341229
28.000000,-3.000000,1,231,-70.166798,23.822902,6.572800,148.272054,-1.000000,0.342510
28.000000,-5.000000,1,230,-70.296928,23.692772,6.566400,146.269311,-1.000000,0.343150
28.000000,-7.000000,1,229,-70.487375,23.502325,6.582400,148.406965,-1.000000,0.341549
28.000000,-9.000000,1,228,-70.732942,23.256758,6.441600,159.122148,-1.000000,0.355634
2.000000,11.000000,1,30,-58.131350,35.858350,6.572800,147.204402,-1.000000,0.342510
2.000000,13.000000,1,31,-60.248392,33.741308,6.585600,147.627723,-1.000000,0.341229
2.000000,15.000000,1,32,-62.075232,31.914468,6.540800,147.947050,-1.000000,0.345711
2.000000,1.000000,1,25,-37.162250,56.827450,6.556800,148.125507,-1.000000,0.344110
2.000000,3.000000,1,26,-43.386850,50.602850,6.608000,146.559691,-1.000000,0.338988
2.000000,5.000000,1,27,-48.613670,45.376030,6.556800,147.860775,-1.000000,0.344110
2.000000,7.000000,1,28,-52.541838,41.447862,6.566400,345.749344,-1.000000,0.343150
2.000000,9.000000,1,29,-55.618984,38.370716,6.534400,147.277995,-1.000000,0.346351
2.000000,-11.000000,1,19,-58.131350,35.858350,6.566400,147.854928,-1.000000,0.343150
2.000000,-13.000000,1,18,-60.248392,33.741308,6.585600,146.921998,-1.000000,0.341229
2.000000,-15.000000,1,17,-62.075232,31.914468,6.598400,145.647400,-1.000000,0.339949
2.000000,-1.000000,1,24,-37.162250,56.827450,6.560000,146.965164,-1.000000,0.343790
2.000000,-3.000000,1,23,-43.386850,50.602850,6.592000,145.234433,-1.000000,0.340589
2.000000,-5.000000,1,22,-48.613670,45.376030,6.588800,147.812853,-1.000000,0.340909
2.000000,-7.000000,1,21,-52.541838,41.447862,6.608000,145.454825,-1.000000,0.338988
2.000000,-9.000000,1,20,-55.618984,38.370716,6.553600,146.425342,-1.000000,0.344430
30.000000,11.000000,1,254,-71.813086,22.176614,6.432000,156.937103,-1.000000,0.356594
30.000000,13.000000,1,255,-72.112366,21.877334,6.592000,147.022288,-1.000000,0.340589
30.000000,15.000000,1,256,-72.444988,21.544712,6.412800,148.338322,-1.000000,0.358515
30.000000,1.000000,1,249,-70.998572,22.991128,6.585600,355.461425,-1.000000,0.341229
30.000000,3.000000,1,250,-71.056158,22.933542,5.817600,484.120789,-1.000000,0.418054
30.000000,5.000000,1,251,-71.169826,22.819874,6.556800,147.231312,-1.000000,0.344110
30.000000,7.000000,1,252,-71.336693,22.653007,6.579200,147.295491,-1.000000,0.341869
30.000000,9.000000,1,253,-71.552735,22.436965,6.540800,150.928777,-1.000000,0.345711
30.000000,-11.000000,1,243,-71.813086,22.176614,6.416000,158.066007,-1.000000,0.358195
30.000000,-13.000000,1,242,-72.112366,21.877334,6.566400,150.222341,-1.000000,0.343150
30.000000,-15.000000,1,241,-72.444988,21.544712,6.614400,147.276851,-1.000000,0.338348
30.000000,-1.000000,1,248,-70.998572,22.991128,6.592000,148.704638,-1.000000,0.340589
30.000000,-3.000000,1,247,-71.056158,22.933542,6.611200,146.403812,-1.000000,0.338668
30.000000,-5.000000,1,246,-71.169826,22.819874,6.534400,146.776948,-1.000000,0.346351
30.000000,-7.000000,1,245,-71.336693,22.653007,5.846400,289.546322,-1.000000,0.415173
30.000000,-9.000000,1,244,-71.552735,22.436965,6.387200,158.044421,-1.000000,0.361076
4.000000,11.000000,1,46,-58.728509,35.261192,6.540800,146.343234,-1.000000,0.345711
4.000000,13.000000,1,47,-60.685276,33.304424,6.556800,147.806511,-1.000000,0.344110
4.000000,15.000000,1,48,-62.407956,31.581744,6.540800,340.853916,-1.000000,0.345711
4.000000,1.000000,1,41,-45.134434,48.855266,6.592000,147.746817,-1.000000,0.340589
4.000000,3.000000,1,42,-47.646800,46.342900,6.582400,147.233637,-1.000000,0.341549
4.000000,5.000000,1,43,-50.869458,43.120242,6.544000,148.263740,-1.000000,0.345391
4.000000,7.000000,1,44,-53.871400,40.118300,6.544000,147.612520,-1.000000,0.345391
4.000000,9.000000,1,45,-56.479276,37.510424,6.544000,149.102181,-1.000000,0.345391
4.000000,-11.000000,1,35,-58.728509,35.261192,6.595200,146.682493,-1.000000,0.340269
4.000000,-13.000000,1,34,-60.685276,33.304424,6.572800,146.994210,-1.000000,0.342510
4.000000,-15.000000,1,33,-62.407956,31.581744,6.582400,149.338681,-1.000000,0.341549
4.000000,-1.000000,1,40,-45.134434,48.855266,6.588800,146.384609,-1.000000,0.340909
4.000000,-3.000000,1,39,-47.646800,46.342900,6.534400,147.978709,-1.000000,0.346351
4.000000,-5.000000,1,38,-50.869458,43.120242,6.592000,146.947689,-1.000000,0.340589
4.000000,-7.000000,1,37,-53.871400,40.118300,6.553600,147.938512,-1.000000,0.344430
4.000000,-9.000000,1,36,-56.479276,37.510424,6.537600,147.602096,-1.000000,0.346031
6.000000,11.000000,1,62,-59.616195,34.373505,6.560000,147.639164,-1.000000,0.343790
6.000000,13.000000,1,63,-61.354008,32.635692,6.566400,148.004566,-1.000000,0.343150
6.000000,15.000000,1,64,-62.927308,31.062392,6.560000,147.181427,-1.000000,0.343790
6.000000,1.000000,1,57,-50.200726,43.788974,6.576000,147.124906,-1.000000,0.342190
6.000000,3.000000,1,58,-51.475888,42.513812,6.598400,147.572456,-1.000000,0.339949
6.000000,5.000000,1,59,-53.457648,40.532053,6.604800,148.098171,-1.000000,0.339309
6.000000,7.000000,1,60,-55.618984,38.370716,6.598400,148.837876,-1.000000,0.339949
6.000000,9.000000,1,61,-57.700488,36.289212,6.617600,147.372158,-1.000000,0.338028
6.000000,-11.000000,1,51,-59.616195,34.373505,6.534400,148.156628,-1.000000,0.346351
6.000000,-13.000000,1,50,-61.354008,32.635692,6.617600,145.985141,-1.000000,0.338028
6.000000,-15.000000,1,49,-62.927308,31.062392,6.598400,146.208205,-1.000000,0.339949
6.000000,-1.000000,1,56,-50.200726,43.788974,6.524800,146.709820,-1.000000,0.347311
6.000000,-3.000000,1,55,-51.475888,42.513812,6.560000,148.184307,-1.000000,0.343790
6.000000,-5.000000,1,54,-53.457648,40.532053,6.556800,148.828912,-1.000000,0.344110
6.000000,-7.000000,1,53,-55.618984,38.370716,6.598400,147.495462,-1.000000,0.339949
6.000000,-9.000000,1,52,-57.700488,36.289212,6.560000,147.725522,-1.000000,0.343790
8.000000,11.000000,1,78,-60.685276,33.304424,6.582400,146.624041,-1.000000,0.341549
8.000000,13.000000,1,79,-62.188039,31.801661,6.576000,148.260517,-1.000000,0.342190
8.000000,15.000000,1,80,-63.591168,30.398532,6.569600,147.579388,-1.000000,0.342830
8.000000,1.000000,1,73,-53.871400,40.118300,6.556800,146.908362,-1.000000,0.344110
8.000000,3.000000,1,74,-54.627543,39.362157,6.563200,147.857780,-1.000000,0.343470
8.000000,5.000000,1,75,-55.918550,38.071150,6.553600,148.124747,-1.000000,0.344430
8.000000,7.000000,1,76,-57.473877,36.515823,6.566400,148.032996,-1.000000,0.343150
8.000000,9.000000,1,77,-59.098220,34.891480,6.572800,147.468414,-1.000000,0.342510
8.000000,-11.000000,1,67,-60.685276,33.304424,6.556800,147.570751,-1.000000,0.344110
8.000000,-13.000000,1,66,-62.188039,31.801661,6.390400,162.270027,-1.000000,0.360755
8.000000,-15.000000,1,65,-63.591168,30.398532,6.544000,150.016242,-1.000000,0.345391
8.000000,-1.000000,1,72,-53.871400,40.118300,6.579200,147.382187,-1.000000,0.341869
8.000000,-3.000000,1,71,-54.627543,39.362157,6.537600,149.360441,-1.000000,0.346031
8.000000,-5.000000,1,70,-55.918550,38.071150,6.585600,346.149284,-1.000000,0.341229
8.000000,-7.000000,1,69,-57.473877,36.515823,6.560000,147.232466,-1.000000,0.343790
8.000000,-9.000000,1,68,-59.098220,34.891480,6.585600,147.960751,-1.000000,0.341229
